Date,latitude,longitude,mag
736871.0,19.4158333,-155.2765,3.55
736870.0,19.4105,-155.2691667,3.48
736870.0,19.398,-155.2716667,4.28
736870.0,19.4003333,-155.2731667,3.72
736870.0,19.4166667,-155.2786667,3.53
736870.0,19.3998333,-155.2741667,3.66
736870.0,19.3991667,-155.274,3.71
736870.0,19.3996667,-155.2758333,3.33
736870.0,19.4123333,-155.2631667,3.67
736870.0,19.4126667,-155.2833333,3.93
736870.0,19.4156667,-155.276,3.76
736870.0,19.3908333,-155.2695,3.53
736870.0,19.3986667,-155.2756667,2.7
736870.0,19.4161667,-155.274,2.77
736870.0,19.4168333,-155.275,3.58
736869.0,19.4121667,-155.2836667,3.12
736869.0,19.3988333,-155.273,3.04
736869.0,19.3983333,-155.2718333,3.93
736869.0,19.3965,-155.2756667,3.75
736869.0,19.4153333,-155.2878333,2.86
736869.0,19.418,-155.2775,2.65
736869.0,19.3983333,-155.273,3.1
736869.0,19.4113333,-155.2815,3.13
736869.0,19.3968333,-155.2746667,3.09
736869.0,19.4171667,-155.2756667,2.96
736869.0,19.3917,-154.9753,3.5
736869.0,19.3971667,-155.2716667,3.61
736869.0,19.3991667,-155.2736667,3.4
736869.0,19.3998333,-155.2748333,3.16
736869.0,19.3986667,-155.273,3.29
736868.0,19.41,-155.2651667,3.54
736868.0,19.3983333,-155.2721667,3.87
736868.0,19.4121667,-155.2836667,3.63
736868.0,19.4163333,-155.278,3.48
736868.0,19.3985,-155.2713333,3.06
736868.0,20.3085,-156.354,2.78
736868.0,19.4238333,-155.2553333,2.97
736868.0,19.4056667,-155.287,3.46
736868.0,19.3995,-155.2736667,3.71
736867.0,19.3958333,-155.2708333,3.63
736867.0,19.4183331,-155.2731628,1.8
736867.0,19.399,-155.2736667,3.55
736867.0,19.3965,-155.2691667,3.61
736867.0,19.3978333,-155.2731667,3.59
736866.0,19.3973333,-155.2726667,3.18
736866.0,19.3998333,-155.27,3.33
736866.0,19.419,-155.2836667,3.66
736866.0,19.4015,-155.2741667,3.26
736866.0,19.3981667,-155.2723333,3.79
736866.0,19.4118333,-155.263,2.05
736866.0,19.3636667,-155.0453333,2.29
736866.0,19.4153333,-155.283,3.4
736866.0,19.3966667,-155.2713333,3.7
736866.0,19.4141667,-155.274,3.4
736866.0,19.4161667,-155.279,3.5
736866.0,19.397,-155.2718333,3.52
736866.0,19.4006667,-155.2746667,4.14
736866.0,19.4113333,-155.2816667,3.7
736865.0,19.4,-155.2741667,3.79
736865.0,19.4,-155.2766667,3.36
736865.0,19.397,-155.2718333,3.83
736865.0,19.4141667,-155.2761667,3.53
736865.0,19.4111667,-155.2811667,3.57
736865.0,19.4158333,-154.9616667,1.39
736865.0,19.3296667,-155.1046667,4.56
736864.0,19.4106667,-155.271,4.15
736864.0,19.4001667,-155.275,3.43
736864.0,19.4035,-155.2641667,1.28
736864.0,19.398,-155.2726667,1.79
736864.0,19.3998333,-155.2715,3.54
736864.0,19.4025,-155.2685,2.03
736864.0,19.3975,-155.2716667,3.17
736864.0,19.398,-155.2731667,3.3
736863.0,19.499,-155.9745,1.39
736863.0,19.3978333,-155.2785,3.97
736863.0,19.4013333,-155.2778333,4.09
736863.0,19.4178333,-155.276,3.76
736863.0,19.3968333,-155.273,3.59
736863.0,19.4121667,-155.2701667,3.52
736863.0,19.3988333,-155.2745,3.97
736863.0,19.416,-155.2781667,3.6
736863.0,19.3995,-155.274,3.64
736863.0,19.3986667,-155.2738333,3.77
736862.0,19.4155,-155.2688333,0.67
736862.0,19.4088333,-155.2798333,3.95
736862.0,19.3995,-155.2705,3.84
736862.0,19.4055,-155.2615,2.61
736862.0,19.4016667,-155.2748333,4.21
736862.0,19.3993333,-155.2731667,3.53
736862.0,19.3988333,-155.2728333,4.02
736862.0,19.3986667,-155.2755,3.57
736862.0,19.4051667,-154.9031667,2.19
736861.0,19.4025,-155.2678333,4.06
736861.0,19.4001667,-155.2713333,1.96
736861.0,19.4021667,-155.2738333,3.45
736861.0,19.3981667,-155.272,3.5
736861.0,19.3453333,-154.9756667,1.36
736860.0,19.3981667,-155.2728333,3.95
736860.0,19.4026667,-155.268,3.62
736860.0,19.4113333,-155.2696667,3.93
736860.0,19.4148333,-155.2878333,3.81
736860.0,19.4188333,-155.2856667,3.73
736860.0,19.4018333,-155.2731667,4.09
736860.0,19.4053333,-155.2641667,2.84
736860.0,19.3993333,-155.2691667,3.93
736860.0,19.4101667,-155.282,2.91
736860.0,19.4118333,-155.284,3.55
736860.0,19.4005,-155.281,3.21
736860.0,19.4001667,-155.2771667,3.95
736860.0,19.4028333,-155.2746667,3.39
736860.0,19.3995,-155.273,3.95
736860.0,19.4101667,-155.2723333,3.04
736859.0,19.4136667,-155.282,5.3
736859.0,19.4006667,-155.2755,4.2
736859.0,19.3971667,-155.272,3.78
736859.0,19.3972,-155.272,3.8
736859.0,19.4165,-155.2761667,3.6
736859.0,19.4086667,-155.2706667,3.55
736859.0,19.3976667,-155.2723333,3.49
736859.0,19.399,-155.274,3.42
736859.0,19.411,-155.2808333,3.42
736858.0,19.4086667,-155.2796667,3.5
736858.0,19.4136667,-155.2816667,5.3
736858.0,19.416,-155.277,2.97
736858.0,19.3996667,-155.275,3.96
736858.0,19.4008333,-155.2743333,3.58
736858.0,19.4141667,-155.2848333,3.52
736858.0,19.3513333,-155.2675,3.53
736858.0,19.4116667,-155.2695,3.58
736858.0,19.409,-155.2791667,3.64
736858.0,19.4013333,-155.2751667,3.73
736858.0,19.3956667,-155.2668333,3.64
736858.0,19.3995,-155.273,3.4
736858.0,19.4056667,-155.2793333,1.7
736857.0,19.3501667,-155.2766667,3.14
736857.0,19.4115,-155.27,3.69
736857.0,19.4016667,-155.2743333,3.88
736857.0,19.4146667,-155.2756667,3.51
736857.0,19.3998333,-155.2713333,3.89
736857.0,19.4036667,-155.2775,3.71
736857.0,19.3995,-155.2746667,3.57
736857.0,19.3995,-155.276,3.49
736856.0,19.4106667,-155.2833333,3.03
736856.0,19.4188333,-155.2903333,4.12
736856.0,19.4138333,-155.2718333,3.68
736856.0,19.4185,-155.282,2.72
736856.0,19.4015,-155.2761667,3.47
736856.0,19.4086667,-155.27,3.47
736856.0,19.3996667,-155.2711667,3.43
736856.0,19.3953333,-155.2685,3.76
736855.0,19.4105,-155.2826667,3.67
736855.0,19.4031667,-155.2741667,3.87
736855.0,19.4028333,-155.2705,3.34
736855.0,19.4011667,-155.2696667,2.59
736855.0,19.4105,-155.2826667,3.62
736854.0,19.4185,-155.2831667,3.11
736854.0,19.3836667,-155.2765,2.67
736854.0,19.4083333,-155.2665,1.0
736854.0,19.401,-155.2695,3.25
736854.0,19.4003333,-155.2763333,4.2
736854.0,19.4046667,-155.2738333,2.87
736854.0,19.4133333,-155.2823333,1.97
736853.0,19.4015,-155.271,3.36
736853.0,19.3996667,-155.2825,3.07
736853.0,19.3993333,-155.2816667,3.63
736853.0,19.4091667,-155.2725,3.48
736853.0,19.4011667,-155.2823333,3.78
736853.0,19.407,-155.2832,3.6
736852.0,19.4176667,-155.2751667,3.65
736851.0,19.4118333,-155.2821667,3.64
736851.0,19.4026667,-155.274,3.5
736850.0,19.4008333,-155.286,5.4
736850.0,19.4113333,-155.2808333,3.79
736850.0,19.4121667,-155.2706667,2.72
736850.0,19.4025,-155.2708333,3.32
736850.0,19.4096667,-155.2821667,3.47
736849.0,21.163,-157.7135,3.55
736848.0,19.4165,-155.276,3.31
736848.0,19.4011667,-155.2756667,3.79
736848.0,19.3996667,-155.273,2.06
736848.0,19.4195,-155.2866667,3.55
736848.0,19.4131667,-155.2655,1.72
736848.0,19.4126667,-155.2718333,2.46
736846.0,19.4003333,-155.2795,5.4
736846.0,19.3291667,-155.1175,3.8
736846.0,19.1865,-155.4521667,1.86
736844.0,19.3926667,-155.2618333,3.5
736844.0,19.4113333,-155.2693333,3.26
